title,author,tag
 맥베스,윌리엄 셰익스피어,"['#세계고전문학', '#영국고전', '#영국문학', '#4대비극', '#희곡', '#마녀', '#예언', '#욕망', '#야망']"
 체호프 단편선,안톤 체호프,"['#세계고전문학', '#러시아고전', '#러시아소설']"
 이반 데니소비치 수용소의 하루,알렉산드르 솔제니친,"['#세계고전문학', '#러시아고전', '#러시아소설', '#노벨문학상']"
 햄릿,셰익스피어,"['#세계고전문학', '#영국고전', '#영국문학', '#4대비극', '#희곡', '#복수', '#서울대추천도서']"
 관객모독,페터 한트케,"['#노벨문학상', '#세계고전문학', '#독일고전', '#독일문학', '#희곡', '#연극', '#언어', '#현대사회', '#풍자']"
 연인,마르그리트 뒤라스,"['#공쿠르상', '#자전적소설', '#프랑스문학']"
 고도를 기다리며,사뮈엘 베케트,"['#세계고전문학', '#프랑스고전', '#프랑스문학', '#노벨문학상', '#희곡', '#부조리극', '#허무주의', '#실존주의', '#비극', '#운명']"
 리어 왕,윌리엄 셰익스피어,"['#세계고전문학', '#영국고전', '#영국문학', '#4대비극', '#희곡', '#욕망', '#갈등', '#정의', '#윤리']"
 아우라,카를로스 푸엔테스,['']
 암흑의 핵심,조셉 콘래드,"['#영국소설', '#서구제국주의', '#세계고전문학']"
 로미오와 줄리엣,윌리엄 셰익스피어,"['#세계고전문학', '#영국고전', '#영국문학', '#희곡', '#사랑', '#순수', '#열정', '#운명', '#비극']"
 오셀로,윌리엄 셰익스피어,"['#세계고전문학', '#영국고전', '#영국문학', '#4대비극', '#희곡', '#신뢰', '#명예', '#차별', '#질투']"
 크눌프,헤르만 헤세,"['#세계고전문학', '#독일고전', '#독일소설']"
 카타리나 블룸의 잃어버린 명예,하인리히 뵐,"['#세계고전문학', '#독일고전', '#독일소설', '#노벨문학상']"
 보이지 않는 도시들,이탈로 칼비노,"['#세계고전문학', '#이탈리아고전', '#이탈리아소설']"
 클링조어의 마지막 여름,헤르만 헤세,"['#세계고전문학', '#독일고전', '#독일소설']"
 호밀밭의 파수꾼,제롬 데이비드 샐린저,"['#세계고전문학', '#미국고전', '#미국소설', '#자전적소설', '#성장소설', '#사춘기', '#청춘', '#심리', '#위선']"
 동물농장,조지 오웰,"['#세계고전문학', '#영국고전', '#영국소설', '#풍자소설', '#사회비판', '#착취', '#혁명', '#평등', '#권력', '#독재']"
 수레바퀴 아래서,헤르만 헤세,"['#세계고전문학', '#독일고전', '#독일소설', '#노벨문학상', '#자전적소설', '#성장소설', '#전통', '#권위', '#억압', '#파멸']"
 데미안,헤르만 헤세,"['#세계고전문학', '#독일소설', '#자전적소설', '#성장소설', '#청춘', '#고뇌', '#방황', '#자아', '#정신분석', '#전쟁']"
 싯다르타,헤르만 헤세,"['#세계고전문학', '#독일고전', '#독일소설', '#노벨문학상', '#자전적소설', '#성장소설', '#자아', '#수행', '#해탈', '#삶의철학']"
 노인과 바다,어니스트 헤밍웨이,"['#세계고전문학', '#미국고전', '#미국소설', '#노벨문학상', '#퓰리처상', '#실존철학', '#인간', '#자연', '#운명', '#용기']"
 설국,가와바타 야스나리,"['#세계고전문학', '#일본고전', '#일본소설', '#노벨문학상', '#서정소설', '#자연', '#풍경', '#묘사', '#정열', '#허무']"
 베니스의 상인,윌리엄 셰익스피어,"['#세계고전문학', '#영국고전', '#영국문학', '#희곡', '#희비극', '#사랑', '#목숨', '#계약', '#재판', '#정의']"
 한여름 밤의 꿈,윌리엄 셰익스피어,"['#세계고전문학', '#영국고전', '#영국문학', '#5대희극', '#희곡', '#사랑', '#마법', '#요정', '#꿈', '#환상']"
 구운몽,김만중,"['#세계고전문학', '#한국고전문학', '#한국고전', '#한국소설', '#환몽구조', '#환상문학', '#설화']"
 젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,"['#세계고전문학', '#독일고전', '#독일소설', '#서간문학', '#사랑', '#순수', '#열정', '#비극', '#죽음']"
 금오신화,김시습,"['#세계고전문학', '#한국고전문학', '#한국고전', '#조선한문학']"
 페널티킥 앞에 선 골키퍼의 불안,페터 한트케,"['#세계고전문학', '#독일고전', '#독일소설', '#노벨문학상', '#상실', '#소외']"
 네루다의 우편배달부,안토니오 스카르메타,"['#칠레소설', '#영화원작소설', '#라틴아메리카문학']"
 반쪼가리 자작,이탈로 칼비노,"['#세계고전문학', '#이탈리아고전', '#이탈리아소설']"
 구덩이,안드레이 플라토노프,"['#세계고전문학', '#러시아고전', '#러시아소설']"
 인형의 집,헨리크 입센,"['#세계고전문학', '#북유럽고전', '#북유럽문학', '#노르웨이문학', '#희곡', '#여성서사', '#페미니즘', '#여성해방운동', '#권리', '#독립']"
 나사의 회전,헨리 제임스,"['#세계고전문학', '#영미소설', '#미국문학', '#미국소설']"
