title,author,page,작가/번역,출판사,출간일,작가
변신이야기 1,오비디우스 저/이윤기 역 | 민음사 | 1998년 08월,http://www.yes24.com/Product/Goods/17364,오비디우스 저/이윤기 역 , 민음사 , 1998년 08월,오비디우스
한국단편문학선 1,김동인 등저 | 민음사 | 2000년 10월,http://www.yes24.com/Product/Goods/57202,김동인 등저 , 민음사 , 2000년 10월,"김동인, 현진건, 이광수, 나도향, 최서해, 김유정, 채만식, 이상, 이효석, 이태준, 정비석, 염상섭"
춘향전,백범영 그림/송성욱 편역 | 민음사 | 2004년 04월,http://www.yes24.com/Product/Goods/1377188,백범영 그림/송성욱 편역 , 민음사 , 2004년 04월,"김동리, 황순원, 오영수, 손창섭, 정한숙, 이호철, 장용학, 서기원, 박경리, 강신재, 선우휘"
페르디두르케,"비톨트 곰브로비치 저/임미경,윤진 역 | 민음사 | 2004년 05월",http://www.yes24.com/Product/Goods/1387489,"비톨트 곰브로비치 저/임미경,윤진 역 ", 민음사 , 2004년 05월,비톨트 곰브로비치
포르노그라피아,비톨트 곰브로비치 저/임미경 역 | 민음사 | 2004년 05월,http://www.yes24.com/Product/Goods/1387490,비톨트 곰브로비치 저/임미경 역 , 민음사 , 2004년 05월,비톨트 곰브로비치
인간 실격,다자이 오사무 저 | 민음사 | 2004년 05월,http://www.yes24.com/Product/Goods/1387488,다자이 오사무 저 , 민음사 , 2004년 05월,다자이 오사무
네루다의 우편배달부,안토니오 스카르메타 저 / 우석균 역 | 민음사 | 2004년 07월,http://www.yes24.com/Product/Goods/1398241,안토니오 스카르메타 저 / 우석균 역 , 민음사 , 2004년 07월,안토니오 스카르메타
이탈리아 기행 1,요한 볼프강 폰 괴테 저 | 민음사 | 2004년 08월,http://www.yes24.com/Product/Goods/1405848,요한 볼프강 폰 괴테 저 , 민음사 , 2004년 08월,요한 볼프강 폰 괴테
이탈리아 기행 2,요한 볼프강 폰 괴테 저 | 민음사 | 2004년 08월,http://www.yes24.com/Product/Goods/1405851,요한 볼프강 폰 괴테 저 , 민음사 , 2004년 08월,요한 볼프강 폰 괴테
나무 위의 남작,이탈로 칼비노 저/이현경 역 | 민음사 | 2004년 08월,http://www.yes24.com/Product/Goods/1406852,이탈로 칼비노 저/이현경 역 , 민음사 , 2004년 08월,이탈로 칼비노
달콤 쌉싸름한 초콜릿,라우라 에스키벨 저/권미선 역 | 민음사 | 2004년 10월,http://www.yes24.com/Product/Goods/1422121,라우라 에스키벨 저/권미선 역 , 민음사 , 2004년 10월,라우라 에스키벨
